"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEMED_ROMBIOPENTAL","Rombiopental","Rombiopental","Rombiopental","Rombiopental","Ромбиопентал","Rombiopental","Rombiopental","Rombiopental","Rombiopental","Rombiopental","Rombiopental","ロンビオペンタール","Rombiopental","隆陇Rombiopental",
"STR_TERJEMED_SURGERY_FAILED","The surgery failed.","The surgery failed.","Operace selhala","Operation ist gescheitert","Хирургическая операция провалилась","Operacja nie powiodła się","A műtét nem sikerült","Operazione chirurgica fallita","Operación quirúrgica fracasó","La chirurgie a échoué.","手術失敗了","手術は失敗しました","Cirurgia falhou","手术失败了",
"STR_TERJEMED_SURGERY_SUCCESS","The surgery succeeded.","The surgery succeeded.","Operace byla úspěšná","Die Operation war erfolgreich","Хирургическая операция прошла успешно","Operacja zakończyła się sukcesem","A sebészeti beavatkozás sikeres volt","L'operazione chirurgica ha avuto successo","La operación quirúrgica fue exitosa","La chirurgie a réussi.","手術成功了","手術は成功しました","A cirurgia foi um sucesso","手术成功了",
"STR_TERJEMED_SURGERY_VISCERA_FAILED","Complications caused further damage. The patient lost a lot of blood, and their condition worsened.","Complications caused further damage. The patient lost a lot of blood, and their condition worsened.","Během chirurgického zákroku jste udělali chybu a ještě více jste poškodili vnitřní orgány. Pacient ztratil hodně krve a jeho stav se zhoršil.","Während der Operation haben Sie einen Fehler gemacht und die inneren Organe noch stärker beschädigt. Der Patient hat viel Blut verloren und sein Zustand hat sich verschlechtert.","Во время хирургической операции вы совершили ошибку и еще сильнее повредили внутренние органы. Пациент потерял много крови а его состояние ухудшилось.","Podczas operacji chirurgicznej popełniłeś błąd i dodatkowo uszkodziłeś narządy wewnętrzne. Pacjent stracił dużo krwi, a jego stan się pogorszył.","A műtét során hibát követett el, és még jobban károsította a belső szerveket. A beteg sok vért vesztett, állapota romlott.","Durante l'intervento chirurgico, hai commesso un errore e hai danneggiato ancora di più gli organi interni. Il paziente ha perso molto sangue e le sue condizioni sono peggiorate.","Durante la cirugía, cometió un error y dañó aún más los órganos internos. El paciente perdió mucha sangre y su condición empeoró.","Des complications ont causé d'autres dommages. Le patient a perdu beaucoup de sang et son état s'est aggravé.","在手術過程中，你犯了一個錯誤，更損害了內髒。 病人失血過多，病情惡化。","手術中に、あなたは間違いを犯し、内臓をさらに傷つけました。 患者は多くの血液を失い、彼の状態は悪化した。","Durante a cirurgia, você cometeu um erro e danificou ainda mais seus órgãos internos. O paciente perdeu muito sangue e a sua condição piorou.","在手术过程中，你犯了一个错误，更损害了内脏。 病人失血过多，病情恶化。",
"STR_TERJEMED_SURGERY_VISCERA_SUCCESS","You successfully stopped the internal bleeding and stitched up the damaged organs.","You successfully stopped the internal bleeding and stitched up the damaged organs.","Úspěšně jste zastavili vnitřní krvácení a zašili poškozené vnitřní orgány.","Sie haben die inneren Blutungen erfolgreich gestoppt und die beschädigten inneren Organe genäht.","Вы успешно остановили внутренее кровотечение и зашили поврежденные внутренние органы.","Udało ci się zatamować krwawienie wewnętrzne i zszyć uszkodzone organy wewnętrzne.","Sikeresen megállította a belső vérzést és összevarrta a sérült belső szerveket.","Hai fermato con successo l'emorragia interna e hai cucito gli organi interni danneggiati.","Ha detenido con éxito el sangrado interno y suturado los órganos internos dañados.","Vous avez réussi à arrêter l'hémorragie interne et à suturer les organes endommagés.","你已經成功地停止了內部出血，並縫合了受損的內髒。","あなたは正常に内出血を止め、損傷した内臓を縫いました。","Interrompeu com sucesso a hemorragia interna e coseu os órgãos internos danificados.","你已经成功地停止了内部出血，并缝合了受损的内脏。",
"STR_TERJEMED_SURGERY_BULLET_FAILED","You couldn't remove the bullet, which led to increased bleeding.","You couldn't remove the bullet, which led to increased bleeding.","Nemohl jste dostat kulku z rány a jen jste zesílil krvácení.","Sie konnten die Kugel nicht aus der Wunde holen und haben nur die Blutung verstärkt.","Вы не смогли достать пулю из раны и только усилили кровотечение.","Nie można było wyjąć pocisku z rany i tylko zwiększyło to krwawienie.","Nem tudta kiszedni a golyót a sebből, és csak fokozta a vérzést.","Non sei riuscito a estrarre il proiettile dalla ferita e hai solo aumentato l'emorragia.","No pudo sacar la bala de la herida y solo empeoró el sangrado.","Vous n'avez pas pu retirer la balle, ce qui a entraîné une augmentation des saignements.","你無法從傷口中取出子彈，只會增加出血。","あなたは傷から弾丸を取り出すことができず、出血を増やすだけでした。","Não conseguiu tirar a bala da ferida e só aumentou a hemorragia.","你无法从伤口中取出子弹，只会增加出血。",
"STR_TERJEMED_SURGERY_BULLET_SUCCESS","You successfully removed the bullet and stitched up the damaged tissue.","You successfully removed the bullet and stitched up the damaged tissue.","Úspěšně jste vytáhl kulku z rány a stehy na poškozené tkáně.","Sie haben die Kugel erfolgreich aus der Wunde gezogen und das beschädigte Gewebe genäht.","Вы успешно достали пулю из раны и наложили швы на поврежденные ткани.","Udało ci się usunąć pocisk z rany i zszyć uszkodzoną tkankę.","Sikeresen eltávolította a golyót a sebből, és összevarrta a sérült szövetet.","Hai estratto con successo il proiettile dalla ferita e hai suturato i tessuti danneggiati.","Usted sacó con éxito la bala de la herida y suturó el tejido dañado.","Vous avez réussi à retirer la balle et à suturer les tissus endommagés.","你成功地從傷口中取出子彈並縫合受損的組織。","あなたは傷から弾丸を首尾よく取り除き、損傷した組織をステッチしました。","Tirou com sucesso a bala da ferida e suturou o tecido danificado.","你成功地从伤口中取出子弹并缝合受损的组织。",
"STR_TERJEMED_SURGERY_WOUND_SUCCESS","You successfully stitched up the damaged skin and soft tissue.","You successfully stitched up the damaged skin and soft tissue.","Úspěšně jste zašili poškozené oblasti kůže a měkké tkáně.","Sie haben beschädigte Hautstellen und Weichgewebe erfolgreich genäht.","Вы успешно зашили поврежденные участки кожи и мягкие ткани.","Udało się zszyć uszkodzoną skórę i tkankę miękką.","Sikeresen varrta fel a bőr és a lágy szövetek sérült területeit.","Hai cucito con successo le aree danneggiate della pelle e dei tessuti molli.","Ha cosido con éxito las áreas dañadas de la piel y los tejidos blandos.","Vous avez réussi à suturer la peau et les tissus mous endommagés.","你已經成功地縫合了皮膚和軟組織的受損區域。","あなたは正常に皮膚や軟部組織の損傷領域をステッチアップしています。","Coseu com sucesso as áreas danificadas da pele e os tecidos moles.","你已经成功地缝合了皮肤和软组织的受损区域。",
"STR_TERJEMED_SURGERY_WOUND_FAILED","You failed to close the puncture wound and stop the bleeding.","You failed to close the puncture wound and stop the bleeding.","Nepodařilo se vám zašít bodnou ránu a zastavit krvácení.","Es ist Ihnen nicht gelungen, die Stichwunde zu nähen und die Blutung zu stoppen.","Вам не удалось зашить колотую рану и остановить кровотечение.","Nie udało ci się zamknąć rany kłutej i zatamować krwawienia.","Nem sikerült összevarrni a szúrt sebet, és elállítani a vérzést.","Non sei riuscito a ricucire la ferita da puntura e fermare l'emorragia.","No pudo coser la herida punzante y detener el sangrado.","Vous n'avez pas réussi à refermer la plaie perforante et à arrêter le saignement.","你沒有縫好穿刺傷口並止血。","あなたは穿刺傷を縫うことができず、出血を止めることができませんでした。","Não conseguiu suturar a facada e parar a hemorragia.","你没有缝好穿刺伤口并止血。",
"STR_TERJEMED_PLASTER_NAME","Packaging of Medical Patches","Packaging of Medical Patches","Balení lékařských náplastí","Verpackung von medizinischen Pflastern","Упаковка медицинских пластырей","Opakowanie plastrów medycznych","Orvosi tapaszok csomagolása","Imballaggio di cerotti medici","Embalaje de parches médicos","Emballage de Pansements Médicaux","醫療貼片的包裝","医療用パッチの包装","Embalagem de patches médicos","医疗贴片的包装",
"STR_TERJEMED_PLASTER_DESC","A set of 10 medical patches for the treatment of small cuts and wounds. The patch protects the damaged area from dirt and infection, accelerating healing. They are convenient for use in the field when there is no time for a full-fledged dressing. An indispensable first aid item to stop a little bleeding and continue on your way.","A set of 10 medical patches for the treatment of small cuts and wounds. The patch protects the damaged area from dirt and infection, accelerating healing. They are convenient for use in the field when there is no time for a full-fledged dressing. An indispensable first aid item to stop a little bleeding and continue on your way.","Sada 10 lékařských náplastí pro ošetření malých řezů a ran. Náplast chrání poškozené místo před nečistotami a infekcí a urychluje hojení. Vhodné pro použití v terénu, kdy není čas na kompletní obvaz. Nepostradatelným předmětem první pomoci je zastavit malé krvácení a pokračovat v cestě.","Ein Satz von 10 medizinischen Pflastern zur Behandlung von kleinen Schnitten und Wunden. Das Pflaster schützt die beschädigte Stelle vor Schmutz und Infektionen und beschleunigt die Heilung. Praktisch für den Einsatz im Feld, wenn es keine Zeit für eine vollständige Verbandskette gibt. Ein unverzichtbares Erste-Hilfe-Objekt, um leichte Blutungen zu stoppen und den Weg fortzusetzen.","Набор из 10 медицинских пластырей для обработки мелких порезов и ран. Пластырь защищает поврежденное место от попадания грязи и инфекции, ускоряя заживление. Удобны для использования в полевых условиях, когда нет времени на полноценную перевязку. Незаменимый предмет первой помощи, чтобы остановить небольшое кровотечение и продолжить путь.","Zestaw 10 plastrów medycznych do opatrywania drobnych skaleczeń i ran. Plaster chroni uszkodzony obszar przed brudem i infekcją, przyspieszając gojenie. Wygodny w użyciu w terenie, gdy nie ma czasu na założenie pełnego opatrunku. Niezbędny element pierwszej pomocy do zatamowania drobnych krwawień i kontynuowania podróży.","Egy sor 10 orvosi tapasz kezelésére kis vágások és sebek. A tapasz védi a sérült területet a szennyeződéstől és a fertőzéstől, felgyorsítva a gyógyulást. Kényelmesek a terepen való használatra, ha nincs idő a teljes értékű öltözködésre. Nélkülözhetetlen elsősegély-elem, hogy megállítson egy kis vérzést, és folytassa az utat.","Set di 10 cerotti medici per la gestione di piccoli tagli e ferite. Il cerotto protegge l'area danneggiata dall'ingresso di sporco e infezioni, accelerando la guarigione. Comodo per l'uso sul campo quando non c'è tempo per una medicazione completa. Un elemento essenziale di primo soccorso per fermare un po ' di sanguinamento e continuare la strada.","Conjunto de 10 parches médicos para el tratamiento de pequeños cortes y heridas. El parche protege el área dañada de la suciedad y la infección, acelerando la curación. Conveniente para usar en el campo cuando no hay tiempo para un vendaje completo. Un elemento indispensable de primeros auxilios para detener un poco de sangrado y continuar el camino.","Un ensemble de 10 pansements médicaux pour le traitement des petites coupures et blessures. Le pansement protège la zone endommagée de la saleté et de l'infection, accélérant la guérison. Ils sont pratiques pour une utilisation sur le terrain lorsqu'il n'y a pas de temps pour un bandage complet. Un article de premiers secours indispensable pour arrêter un petit saignement et continuer votre chemin.","一套10個醫療貼片，用于治療小傷口和傷口。 貼片保護受損區域免受汙垢和感染，加速愈合。 當沒有時間進行全面的敷料時，它們很方便在現場使用。 一個不可或缺的急救項目，停止一點出血，並繼續在你的路上。","小さな切り傷や傷の治療のための10個の医療パッチのセット。 パッチは損傷した領域を汚れや感染から保護し、治癒を促進します。 本格的なドレッシングのための時間がないとき、彼らはフィールドでの使用に便利です。 少し出血を停止し、あなたの方法で継続するために不可欠な応急処置アイテム。","Um conjunto de 10 adesivos médicos para tratar pequenos cortes e feridas. O adesivo protege a área danificada da sujeira e da infecção, acelerando a cicatrização. Conveniente para uso no campo, quando não há tempo para um curativo completo. Um item de Primeiros Socorros indispensável para parar um pouco de sangramento e continuar o caminho.","一套10个医疗贴片，用于治疗小伤口和伤口。 贴片保护受损区域免受污垢和感染，加速愈合。 当没有时间进行全面的敷料时，它们很方便在现场使用。 一个不可或缺的急救项目，停止一点出血，并继续在你的路上。",
"STR_TERJEMED_SURGKIT_NAME","Field Surgical Kit","Field Surgical Kit","Polní chirurgický set","Feldchirurgisches Set","Полевой хирургический набор","Polowy zestaw chirurgiczny","Terepi Sebészeti Készlet","Kit chirurgico sul campo","Kit quirúrgico de campo","Kit Chirurgical","野外手術包","フィールドサージカルキット","Conjunto cirúrgico de campo","野外手术包",
"STR_TERJEMED_SURGKIT_DESC","An emergency kit designed to stop bleeding of varying severity and perform simple surgical procedures in the field. It contains everything necessary for the treatment of serious wounds, which makes it an indispensable tool for survival in extreme situations.","An emergency kit designed to stop bleeding of varying severity and perform simple surgical procedures in the field. It contains everything necessary for the treatment of serious wounds, which makes it an indispensable tool for survival in extreme situations.","Nouzová sada určená k zastavení krvácení různých stupňů závažnosti a provádění jednoduchých chirurgických postupů v terénu. Obsahuje vše potřebné k ošetření vážných ran, což z něj činí nepostradatelný nástroj pro přežití v extrémních situacích.","Ein Notfallset, das Blutungen unterschiedlicher Schweregrade stoppen und einfache chirurgische Eingriffe im Feld durchführen soll. Enthält alles, was Sie für die Behandlung schwerer Wunden benötigen, was es zu einem unverzichtbaren Überlebenswerkzeug in extremen Situationen macht.","Набор для оказания экстренной помощи, предназначенный для остановки кровотечений разной степени тяжести и выполнения простых хирургических процедур в полевых условиях. Содержит все необходимое для обработки серьезных ран, что делает его незаменимым инструментом выживания в экстремальных ситуациях.","Zestaw ratunkowy przeznaczony do tamowania krwawień o różnym stopniu nasilenia i wykonywania prostych zabiegów chirurgicznych w terenie. Zawiera wszystko, czego potrzebujesz do leczenia poważnych ran, dzięki czemu jest niezbędnym narzędziem przetrwania w ekstremalnych sytuacjach.","Sürgősségi készlet, amelynek célja a különböző súlyosságú vérzés megállítása és egyszerű műtéti eljárások végrehajtása a területen. Mindent tartalmaz, ami a súlyos sebek kezeléséhez szükséges, ami nélkülözhetetlen eszköz a szélsőséges helyzetekben való túléléshez.","Un kit di emergenza progettato per fermare emorragie di varia gravità ed eseguire semplici procedure chirurgiche sul campo. Contiene tutto il necessario per gestire ferite gravi, rendendolo uno strumento indispensabile per sopravvivere in situazioni estreme.","Kit de emergencia diseñado para detener hemorragias de diversa gravedad y realizar procedimientos quirúrgicos simples en el campo. Contiene todo lo necesario para manejar heridas graves, por lo que es una herramienta indispensable para la supervivencia en situaciones extremas.","Un kit d'urgence conçu pour arrêter les saignements de différentes gravités et effectuer des procédures chirurgicales simples sur le terrain. Il contient tout le nécessaire pour le traitement des blessures graves, ce qui en fait un outil indispensable pour survivre dans des situations extrêmes.","一種急救包，旨在止血不同嚴重程度的出血，並在現場進行簡單的外科手術。 它包含治療嚴重傷口所需的一切，這使其成為極端情況下生存不可或缺的工具。","さまざまな重大度の出血を停止し、分野で簡単な外科的処置を行うように設計されている緊急のキット。 深刻な傷の治療に必要なものがすべて含まれているため、極端な状況での生存に不可欠なツールとなっています。","Kit de emergência projetado para interromper o sangramento de diferentes graus e realizar procedimentos cirúrgicos simples no campo. Contém tudo o que é necessário para o tratamento de feridas graves, tornando-se uma ferramenta indispensável para a sobrevivência em situações extremas.","一种急救包，旨在止血不同严重程度的出血，并在现场进行简单的外科手术。 它包含治疗严重伤口所需的一切，这使其成为极端情况下生存不可或缺的工具。",
